id,name,slug,address,city,state,zip,phone,email,license_type,lat,lon,is_published
324007,Green Fuego Dispensary,green-fuego-dispensary,7502 Mallard Way,Santa Fe,New Mexico,87507,(505) 365-2979,greenfuego505@gmail.com,hybrid,35.635355,-106.065527,true
317133,Vana Society - Clovis,vana-society,3608 N Prince St Suite E,Clovis,New Mexico,88101,(575) 530-0400,hello@vanasociety.com,hybrid,34.43534,-103.19704,true
337214,GNOMAD Canna Co - Hobbs,gnomad-canna-co,3501 N Grimes,Hobbs,New Mexico,88240,(575) 392-9333,contactsus@gnomadcannaco.com,hybrid,32.739463,-103.144887,true
316801,Buds N More Dispensary,buds-n-more-dispensary,3023 S. First St,Tucumcari,New Mexico,88401,(575) 832-9122,budsdispensary.tuc@gmail.com,recreational,35.15044,-103.72537,true
407244,Nitro Organics,nitro-organics,330 E Motel Dr.,Lordsburg,New Mexico,88045,(575) 542-3344,contact@nitroorganicsnm.com,hybrid,32.349314,-108.70572,true
400135,Urban Wellness - Sunland Park,urban-wellness-sunland-park,"1500 Appaloosa Dr. Building A, Ste 140",Sunland Park,New Mexico,88063,(575) 332-4205,contact@urbanwellnessnm.com,hybrid,31.80225,-106.56425,true
369507,Mango Cannabis - Sunland Park,mango-sunland-park,1051 McNutt Rd.,Sunland Park,New Mexico,88063,(575) 332-4108,info@mangocannabis.com,hybrid,31.794891,-106.55688,true
343339,Better Buds,better-buds-7,107 W Main St,Tucumcari,New Mexico,88401,(575) 832-7300,betterbudsnm@gmail.com,hybrid,35.17922,-103.726396,true
345328,Urban Wellness - Hobbs,urban-wellness-101,236 E Navajo Suite 700 & 800,Hobbs,New Mexico,88240,(575) 964-2221,contact@urbanwellnessnm.com,hybrid,32.74029,-103.13493,true
325562,A Nice Dream,anicedream,2506 san mateo place,Albuquerque,New Mexico,87110,(505) 705-9790,anicedream2022@gmail.com,hybrid,35.107679,-106.585951,true
342139,Ridankulous Alamogordo,ridankulous,918 N. White Sands Blvd.,Alamogordo,New Mexico,88310,(575) 495-2393,Ridankulousweed@gmail.com,hybrid,32.89936,-105.96,true
319651,ENDO,endo-3,2903 Agua Fria Street,Santa Fe,New Mexico,87507,(505) 477-3636,info@newmexendo.com,hybrid,35.663605,-105.997825,true
382984,Amigos Cannabis - Rio Rancho,amigos-cannabis-2,1670 NM Highway 528 SE Ste A,Rio Rancho,New Mexico,87124,(505) 396-7778,amigosaccting@gmail.com,hybrid,35.23194053548934,-106.6561768577153,true
397980,Effy Exotics - Alamogordo,effy-exotics-1,1408 Black St,Alamogordo,New Mexico,88310,(575) 286-4282,ndelarosa@effyexotics.com,hybrid,32.873115,-105.976775,true
335698,Deep Sky Cannabis - Downtown,deep-sky-cannabis-1,300 Galisteo street #105,Santa Fe,New Mexico,87501,(505) 216-6513,deepskycannabis@gmail.com,hybrid,35.68525,-105.94188,true
377181,The Cannabis Store,the-cannabis-store-carlsbad,516 S. Canal Street,Carlsbad,New Mexico,88220,(575) 689-1910,hello@vanasociety.com,hybrid,32.415031,-104.228591,true
405371,Hii Experience,hii-experience,1920 Appaloosa Dr,Sunland Park,New Mexico,88063,(505) 575-4444,info@hiiexperience.com,hybrid,31.803297,-106.569688,true
393997,OBSIDIAN HAZE,obsidian-haze,1600 AVE O,Eunice,New Mexico,88231,(575) 605-4014,Obsidianhazenm@gmail.com,hybrid,32.44282,-103.16368,true
401998,Neighborhood Plug,neighborhood-plug,3620 Bosque Plaza Ln NW,Albuquerque,New Mexico,87120,(505) 607-0967,neighborhoodplug505@gmail.com,hybrid,35.158372,-106.678162,true
406741,Prohibition 37 – Sunland Park,prohibition-37-sunland-park,871 McNutt Rd,Sunland Park,New Mexico,88063,(575) 332-4500,devin@prohibition37.com,hybrid,31.795845,-106.554171,true
365719,Effy Exotics Dispensary & New 24hr Drive-Thru,effy-exotics,2153 W Picacho Ave,Las Cruces,New Mexico,88007,(575) 652-4619,elopez@effyexotics.com,hybrid,32.311335,-106.806387,true
392020,Bud Board Dispensary Hobbs,bud-board-dispensary-hobbs,2206 W. Marland,Hobbs,New Mexico,88240,(575) 391-1526,marketing@budboard.biz,hybrid,32.69692,-103.1622,true
333876,Bud Board Dispensary - Pierce,bud-board-dispensary,618 w Pierce st,Carlsbad,New Mexico,88220,(575) 725-5940,marketing@budboard.biz,hybrid,32.43598,-104.23446,true
397500,Bud Board Smoke Shop & Dispensary - Canyon,bud-board-dispensary-1,401 South Canyon Street,Carlsbad,New Mexico,88220,(575) 725-5811,Marketing@budboard.biz,recreational,32.436014,-104.234469,true
400511,Earl & Tom's - Prince,earl-tom-s-prince,3211 N. Prince St,Clovis,New Mexico,88101,(575) 218-3040,earlandtoms@gmail.com,hybrid,34.431176,-103.196186,true
349197,Black Powder Dispensary,black-powder-dispensary,2859 Cerrillos Rd Unit 4,Santa Fe,New Mexico,87507,(505) 303-3153,Info@blackpowderdispensary.com,recreational,35.657239,-105.989116,true
360777,Amnesia Dispensary - Juan Tabo,amnesia-dispensary-1,2100 Juan Tabo Blvd NE,Albuquerque,New Mexico,87112,(505) 554-2116,amnesiadispensary505@gmail.com,hybrid,35.104291,-106.514903,true
401786,NRG LYFT DISPENSARY,nrg-lyft-dispensary,875 McNutt Rd.,Sunland Park,New Mexico,88063,(214) 557-0156,Info@nrglyftdispensary.com,hybrid,31.795789,-106.554247,true
52271,PurLife Dispensary - Truth or Consequences,mj-express-o-t-c,203 S Foch St,Truth or Consequences,New Mexico,87901,(575) 894-0301,torcinfo@naturesmedicines.com,hybrid,33.129914,-107.254728,true
407887,Amnesia Dispensary - Isleta,amnesia-dispensary-isleta,2035 Isleta Blvd SW,Albuquerque,New Mexico,87105,(505) 300-4531,amnesiadispensary505@gmail.com,hybrid,35.045195,-106.679478,true
317969,Amnesia Dispensary - San Mateo,amnesia-dispensary,2723 San Mateo Blvd NE Are. B,Albuquerque,New Mexico,87110,(505) 677-3245,Amnesiadispensary505@gmail.com,hybrid,35.112059,-106.586656,true
316323,Dulce Cannabis,dulce-cannabis,2000 Carlisle Boulevard Northeast,Albuquerque,New Mexico,87110,(505) 430-9391,cannabiz@dulce505.com,recreational,35.101281,-106.6037,true
346437,WeedMart,weedmart-nm,13600 Copper Avenue Northeast,Albuquerque,New Mexico,87123,(505) 295-5852,lupita@420weed.com,hybrid,35.078685,-106.497775,true
346128,Green Central Station,green-central-station,2117 Menaul Blvd NE,Albuquerque,New Mexico,87107,(505) 312-8007,greencentralstationnm@gmail.com,hybrid,35.10953,-106.61955,true
358116,Sundays Clone Bar and Dispensary,sundays-clone-bar-and-dispensary,4505 Menaul BLVD NE,Albuquerque,New Mexico,87110,(505) 418-6857,sundaysdispo@gmail.com,hybrid,35.109551,-106.593279,true
338917,Stoned Ape Canna Co,stoned-ape-canna-co,1101 W Pierce St,Carlsbad,New Mexico,88220,(575) 988-1051,contact@stonedapecannaco.com,hybrid,32.435275,-104.239185,true
335361,Mr Goodbud,mr-goodbud,1710 w Joe Harvey blvd suite G,Hobbs,New Mexico,88240,(575) 777-6423,mr.goodbuddispensary@gmail.com,hybrid,32.74228,-103.15681,true
392716,Apogee - Drive Thru,apogee,1769 Victory Lane,Sunland Park,New Mexico,88063,(575) 334-2764,admin@apogeenm.com,hybrid,31.803191,-106.566497,true
407925,Peace Pipe Cannabis,peace-pipe-cannabis,22 E Broadway St,Tatum,New Mexico,88267,(575) 704-5260,sam@peacepipecannabis.com,hybrid,33.257262,-103.316706,true
337669,Elevation 3789,elevation-3789,1999 Futurity,Sunland Park,New Mexico,88063,(575) 332-9087,contact@elevation3789.com,hybrid,31.806,-106.56965,true
317951,Earl and Tom's,earl-and-tom-s,106 South Main Street,Clovis,New Mexico,88101,(575) 935-6699,earlandtom@gmail.com,hybrid,34.39828,-103.205582,true
364593,Canna Buddha of Jal,cannabuddha-1,435 S 3rd St,Jal,New Mexico,88252,(505) 808-0929,cannabuddhajal@gmail.com,hybrid,32.10928,-103.19375,true
324110,Herrera Cannabis Company - Drive Thru,herrera-cannabis-company,6404 Hwy 550,Cuba,New Mexico,87013,(505) 249-6528,cubacannabisfriendly@herreracannabiscompany.com,hybrid,36.018993,-106.95985,true
348264,Glenrio Smoke Stop - NOW OPEN!,glenrio-smoke-stop,105 Historic Route 66,Bard,New Mexico,88411,(575) 576-0000,info@glenrio.com,hybrid,35.17884468560267,-103.0435797635915,true
325404,Canna Buddha of Hobbs - Drive Thru,canna-buddha,1003 N Linam St,Hobbs,New Mexico,88240,(575) 397-5871,cannabuddha1003@gmail.com,hybrid,32.71042,-103.13894,true
317563,Cannaverse,cannaverse-1,2305 Nevada Ave,Las Cruces,New Mexico,88001,(575) 888-4343,admin@cannaversedispensaries.com,hybrid,32.308655,-106.75104,true
318165,Amnesia Dispensary and Accessories - Jefferson,amnesia-dispensary-and-accessories,5000 Jefferson NE #B,Albuquerque,New Mexico,87109,(505) 835-5595,amnesiadispensary505@gmail.com,hybrid,35.140038,-106.59306,true
354525,Oasis Cannabis Co - Roswell,oasis-cannabis-roswell,1407 2nd St,Roswell,New Mexico,88201,(575) 659-5304,Help@oasiscannabisnm.com,hybrid,33.394431,-104.541696,true
320925,Oasis Cannabis Co - Lomas,oasis-cannabis-co-1,6311 Lomas Blvd NE,Albuquerque,New Mexico,87110,(505) 639-4385,koueis@oasiscannabisnm.com,hybrid,35.08762,-106.576722,true
320924,Oasis Cannabis Co - Juan Tabo,oasis-cannabis-co,2925 Juan Tabo Blvd NE,Albuquerque,New Mexico,87112,(505) 200-9052,koueis@oasiscannabisnm.com,hybrid,35.11583,-106.51608,true
349215,Oasis Cannabis Coors,oasis-cannabis-coors,3730 Coors Blvd NE Suite B,Albuquerque,New Mexico,87120,(505) 800-7164,help@oasiscannabisnm.com,hybrid,35.12464,-106.70113,true
320926,Oasis Cannabis Co - Farmington,oasis-cannabis-co-2,428 E Main St,Farmington,New Mexico,87401,(505) 278-8645,help@oasiscannabisnm.com,hybrid,36.73006,-108.200025,true
